id;number_id;assign_user;assign_time;assigned_user
1;Computers;Extended;2019-06-17T10:41:23;Virtual explicit index
2;synthesizing actuating;Cambridgeshire;2019-06-18T07:37:59;Generic Fresh Towels
3;back-end;deliverables;2019-06-18T00:06:13;Future
4;alarm;Liaison Vermont;2019-06-17T09:57:22;Refined Cotton Cheese modular
5;Cambridgeshire Engineer Metal;mint green Kentucky Groves;2019-06-17T09:06:42;Personal Loan Account e-business Steel
6;program;Cloned quantifying;2019-06-17T18:58:14;Wallis and Futuna Concrete
7;innovate Bahrain wireless;Namibia Intelligent;2019-06-17T21:26:26;Berkshire Keyboard Branding
8;olive Practical AI;payment Finland;2019-06-18T06:56:42;Avon cross-platform Wall
9;neural;pink Synergized;2019-06-18T04:29:12;pricing structure input
10;Electronics Fresh;GB AGP;2019-06-18T02:42:31;Park Producer quantify
